Person ID,First name,Last name,Party,Division,URI
10984,Cassandra,Fernando,Australian Labor Party,Holt,https://www.openaustralia.org.au/mp/cassandra_fernando/holt
11038,Ali,France,Australian Labor Party,Dickson,https://www.openaustralia.org.au/mp/ali_france/dickson
10872,Mike,Freelander,Australian Labor Party,Macarthur,https://www.openaustralia.org.au/mp/mike_freelander/macarthur
11039,Tom,French,Australian Labor Party,Moore,https://www.openaustralia.org.au/mp/tom_french/moore
10972,Carina,Garland,Australian Labor Party,Chisholm,https://www.openaustralia.org.au/mp/carina_garland/chisholm
10883,Andrew,Gee,Independent,Calare,https://www.openaustralia.org.au/mp/andrew_gee/calare
10245,Steve,Georganas,Australian Labor Party,Adelaide,https://www.openaustralia.org.au/mp/steve_georganas/adelaide
10812,Andrew,Giles,Australian Labor Party,Scullin,https://www.openaustralia.org.au/mp/andrew_giles/scullin
10911,Patrick,Gorman,Australian Labor Party,Perth,https://www.openaustralia.org.au/mp/patrick_gorman/perth
10877,Luke,Gosling,Australian Labor Party,Solomon,https://www.openaustralia.org.au/mp/luke_gosling/solomon
11040,Matt,Gregg,Australian Labor Party,Deakin,https://www.openaustralia.org.au/mp/matt_gregg/deakin
10929,Helen,Haines,Independent,Indi,https://www.openaustralia.org.au/mp/helen_haines/indi
10963,Garth,Hamilton,Liberal National Party,Groom,https://www.openaustralia.org.au/mp/garth_hamilton/groom
10843,Andrew,Hastie,Liberal Party,Canning,https://www.openaustralia.org.au/mp/andrew_hastie/canning
10290,Alex,Hawke,Liberal Party,Mitchell,https://www.openaustralia.org.au/mp/alex_hawke/mitchell
10885,Julian,Hill,Australian Labor Party,Bruce,https://www.openaustralia.org.au/mp/julian_hill/bruce
10806,Kevin,Hogan,National Party,Page,https://www.openaustralia.org.au/mp/kevin_hogan/page
11041,Rowan,Holzberger,Australian Labor Party,Forde,https://www.openaustralia.org.au/mp/rowan_holzberger/forde
10749,Ed,Husic,Australian Labor Party,Chifley,https://www.openaustralia.org.au/mp/ed_husic/chifley
